Catalog#,Artist,Title,Label,Format,Rating,Released,release_id,CollectionFolder,Date Added,Collection Media Condition,Collection Sleeve Condition,Collection Notes
BGPS 024,National Soul Review / Tami Lynn,"Get Me Back On Time, Engine #9 / Light My Fire",BGP Records,"7""",,2005,1106213,45 Funk/Soul,2020-11-22 06:13:37,Near Mint (NM or M-),Generic,
BGPS 038,Gil Scott-Heron,The Revolution Will Not Be Televised,BGP Records,"7"", Single, RE",,2013,4542111,45 Funk/Soul,2018-12-21 19:52:40,Near Mint (NM or M-),Very Good Plus (VG+),
XXQLP2 046 ,Various,Lovin' Mighty Fire (Nippon Funk • Soul • Disco 1973-1983),BGP Records,"2xLP, Comp, Red",,2017,9876768,Japanese,2018-08-08 02:26:04,Near Mint (NM or M-),Near Mint (NM or M-),
BTRC018,Various,Sacred Soul: The D-Vine Spirituals Records Story Volume One,Bible & Tire Recording Co.,"LP, Comp",,2022,21823630,Funk/Soul,2023-04-01 23:19:40,Mint (M),,
BC001-45,El Michels Affair,4th Chamber / Snakes,Big Crown Records,"7"", Single",,2016,8314464,45 Hip-Hop/Instrumental,2023-05-21 18:23:14,Near Mint (NM or M-),Near Mint (NM or M-),
BC004-45,The Bacao Rhythm & Steel Band,Love Like This,Big Crown Records,"7"", Single",,2016,8229765,45 Funk/Soul,2018-12-21 19:58:24,Mint (M),Mint (M),
BC005-45,Sunny & The Sunliners,Get Down,Big Crown Records,"7""",,2018,11596048,45 Funk/Soul,2018-12-24 00:53:33,Mint (M),Mint (M),
BC008-45,El Michels Affair,Tearz / Verbal Intercourse,Big Crown Records,"7""",,2017,9742670,45 Funk/Soul,2019-09-22 01:16:36,Mint (M),Mint (M),
BC017-LP B,El Michels Affair,Return To The 37th Chamber,Big Crown Records,"LP, Album",,2017,10178866,Funk/Soul,2021-01-20 19:47:04,Mint (M),Mint (M),
BC023-45,Kool And Together,Sittin' On A Red Hot Stove,Big Crown Records,"7""",,2018,11671693,45 Funk/Soul,2018-12-21 19:59:09,Mint (M),Mint (M),
BC024-45,Thee Lakesiders,Si Me Faltaras Tu,Big Crown Records,"7"", Single",,2018,12020209,45 Funk/Soul,2018-12-21 20:12:46,Mint (M),Mint (M),
BC024-45,Thee Lakesiders,Si Me Faltaras Tu / Parachute,Big Crown Records,"7"", Single, RE",,2018,13116720,45 Funk/Soul,2021-04-07 11:59:04,Mint (M),Mint (M),
BC054-45,The Bacao Rhythm & Steel Band,Xxplosive,Big Crown Records,"7""",,2018,12181169,45 Funk/Soul,2021-02-25 19:43:27,Mint (M),Mint (M),
BC068-45,Lady Wray,Piece Of Me / Come On In,Big Crown Records,"7"", Single",,2019,13509796,45 Funk/Soul,2023-04-06 20:39:50,Mint (M),Generic,
BC081-45,Bobby Oroza,Lonely Girl,Big Crown Records,"7""",,2019,13905813,45 Funk/Soul,2019-08-04 01:34:32,Mint (M),Mint (M),
BC082-45,Sunny & The Sunliners,"Smile Now, Cry Later",Big Crown Records,"7"", Single",,2019,13653655,45 Funk/Soul,2023-04-06 20:40:30,Mint (M),Generic,
BC086-45,The Channels 4 / Carla & The Carlettes,Cross My Heart / Groovin,Big Crown Records,"7""",,2019,13933063,45 60's/70's R&B,2019-08-04 01:37:00,Mint (M),Mint (M),
BC088-45,Holy Hive,Oh I Miss Her So,Big Crown Records,"7"", Single",,2019,13653626,45 Funk/Soul,2019-07-13 18:40:39,Mint (M),Mint (M),
BIG-LP-001,Various,Busy Is Good,Big Nice Records,"LP, Comp",,2022,23618051,Jazz,2022-09-24 22:55:16,Mint (M),Mint (M),
BLB 101,Whodamanny,Baila Chica,Biloba,"12"", Maxi, Ltd",,2023,27352044,"12"" New Wave",2023-07-24 23:43:52,Near Mint (NM or M-),Near Mint (NM or M-),
RGM-1167,Calvin Keys,Shawn-Neeq,"Black Jazz Records, Real Gone Music","LP, Album, RE, RM",,2021,17212294,Jazz,2021-03-06 15:02:03,Mint (M),Mint (M),
602557139785,Frank Ocean,Endless,Blonded,"2xLP, S/Sided, Album, Etch, RM",,2018,11202661,Modern R&B,2018-08-08 22:03:08,Near Mint (NM or M-),Near Mint (NM or M-),
BLND02-1,Frank Ocean,Dear April,Blonded,"7"", Single",,2020,15022184,45 R&B,2020-04-24 03:59:07,Mint (M),Mint (M),
BLND02-2,Frank Ocean,Cayendo,Blonded,"7"", Single",,2020,15003227,45 R&B,2020-04-24 03:58:30,Mint (M),Mint (M),
BLND02-4,Frank Ocean,In My Room,Blonded,"7"", Single",,2020,15084679,45 R&B,2021-05-17 22:35:12,Mint (M),Mint (M),
1496,All The People Featuring Robert Moore (3),Cramp Your Style / Whatcha Gonna Do About It,Blue Candle,"7"", Single, RE, RM, RP, Blu",,2020,15827234,45 Funk/Soul,2021-01-29 17:29:30,Mint (M),Mint (M),
BH 4801,Jellybread,First Slice,Blue Horizon,"LP, Album",,1970,4720057,70's Rock,2023-02-02 22:24:24,Near Mint (NM or M-),Very Good (VG),
B002803201,Robert Glasper x Kaytranada,The ArtScience Remixes,Blue Note,"12"", EP, RSD, Ltd",,2018,11895886,New Jazz,2018-08-08 00:17:50,Near Mint (NM or M-),Near Mint (NM or M-),
BN-LA313-G,Gene Harris,Astralsignal,Blue Note,"LP, Album",,1974,908982,Jazz,2021-12-04 00:24:28,Very Good Plus (VG+),Very Good Plus (VG+),
"4535203, 84382, BST-84382, 00602445352036",Ronnie Foster,Two Headed Freap,"Blue Note, UMe, Blue Note, Blue Note, Blue Note, UMe","LP, Album, RE, 180",,2022,23296742,Jazz,2022-06-30 20:58:41,Mint (M),Mint (M),
"4535205, BST 84334, 84334, 00602445352050",Brother Jack McDuff,Moon Rappin',"Blue Note, UMe, Blue Note, Blue Note, Blue Note, UMe","LP, Album, RE, 180",,2022,23300300,Jazz,2022-06-30 20:57:10,Mint (M),Mint (M),
"5507716, 00602455077165",Robert Glasper,In My Element,"Blue Note, UMe, Blue Note, UMe","2xLP, Album, RE, 180",,2023,27400182,New Jazz,2023-07-19 00:40:06,Near Mint (NM or M-),Near Mint (NM or M-),
"3596800, 00602435968001, BN-LA549-G",Donald Byrd,Places And Spaces,"Blue Note, UMe, Blue Note, UMe, Blue Note","LP, Album, RE, 180",,2021,21035152,Jazz,2023-06-17 22:37:30,Mint (M),Mint (M),
DRL11794,Weldon Irvine,Cosmic Vortex (Justice Divine),BMG Special Products,"LP, Album, RE",,0,716143,Jazz,2022-07-28 22:21:23,Mint (M),,
DRL11795,Weldon Irvine,Sinbad,BMG Special Products,"LP, Album, RE",,0,716144,Funk/Soul,2022-11-08 21:33:03,Mint (M),Mint (M),
"BM 225, BM 226",The Boogie Man Orchestra,"(Theme From) Lady, Lady, Lady (Are You Crazy For Me?)","Boogie Man Records (2), Boogie Man Records (2)","7""",,1975,648714,45 Funk/Soul,2023-05-24 23:11:53,Near Mint (NM or M-),Generic,
BF020,TOKiMONSTA,Creature Dreams,Brainfeeder,"12"", EP",,2011,2902670,Instrumental/Beats,2018-12-22 00:38:06,Mint (M),Near Mint (NM or M-),
BF023,Thundercat,The Golden Age Of Apocalypse,Brainfeeder,"LP, Album",,2011,3079712,New Jazz,2018-08-08 00:16:43,Near Mint (NM or M-),Mint (M),
BF069,Brandon Coleman,Resistance,Brainfeeder,"2xLP, Album, Cle",,2018,12514617,Funk/Soul,2021-07-12 22:55:58,Mint (M),Mint (M),
"BF100E, BF100",Thundercat,It Is What It Is,"Brainfeeder, Brainfeeder","LP, Album, Ltd, Cre",,2020,15038244,New Jazz,2020-04-28 00:24:07,Mint (M),Mint (M),
45-4205,Bobby Byrd,Keep On Doin' What You're Doin' ,Brownstone,"7"", Single, Scr",,1972,15732878,45 Funk/Soul,2023-06-12 22:22:16,Very Good Plus (VG+),Generic,
BDS-20-SK,Gabor Szabo,Blowin' Some Old Smoke,Buddah Records,"LP, Comp",,1970,3946056,Brazilian,2018-08-08 01:11:23,Very Good (VG),Good Plus (G+),
BRGR520,Cherry Glazerr,Haxel Princess,Burger Records,"LP, Album",,2014,5719920,Psych/Garage Rock,2018-10-11 01:00:44,Mint (M),Mint (M),
529.332,Sunny Murray,An Even Break (Never Give A Sucker),BYG Records,"LP, Album, RE",,0,2984410,Jazz,2023-04-26 21:22:05,Mint (M),Mint (M),
DJLP-312,Rotary Connection,The Rotary Connection,Cadet Concept,"LP, Album, Mono, Promo",,1968,8872224,Jazz,2019-10-28 22:02:11,Very Good (VG),Very Good (VG),
B0028527-01,Terry Callier,What Color Is Love,"Cadet, Geffen Records","LP, Album, RE",,2018,12542076,Funk/Soul,2018-11-11 22:50:01,Mint (M),Mint (M),
KR-09,Various,This Is The Place: American Soul Music 1963-1974,Cairo Records (2),"2xLP, Comp",,2023,26862290,Funk/Soul,2023-05-07 23:13:15,Mint (M),Mint (M),
KR-14,O.V. Wright,Nickel And A Nail And Ace Of Spades And Everybody Knows The Best Of O.V. Wright,Cairo Records (2),"LP, Album, Mono, RE + LP, Comp, Mono",,2023,26728478,Funk/Soul,2023-05-21 22:51:02,Near Mint (NM or M-),Near Mint (NM or M-),
CS-3201-A,The Sisters Love,Do It Right Now,Cal State Music,"7""",,1972,4544286,45 60's/70's R&B,2020-11-22 06:03:54,Mint (M),Generic,
C-429,Bobby Marchan,Shake Your Tambourine / Just Be Yourself,Cameo,"7"", Single, Styrene, Mon",,1966,9610622,45 Funk/Soul,2020-11-22 05:22:03,Near Mint (NM or M-),Very Good (VG),
V-15562,George Clinton,Atomic Dog,"Capitol Gold Cuts, Capitol Records","12"", RE",,1990,638592,"12"" Funk/Soul",2020-02-03 23:26:23,Near Mint (NM or M-),Near Mint (NM or M-),
B0025788-01,Selena,Dreaming of You,Capitol Latin,"2xLP, Album, RE, RM",,2016,9388037,Spanish,2018-08-08 03:57:59,Near Mint (NM or M-),Near Mint (NM or M-),
00602557537574,Mazzy Star,So Tonight That I Might See,Capitol Records,"LP, Album, RE, 180",,2017,10806771,90's Rock/Alternative,2019-04-14 22:14:55,,,
4179,The Sylvers,Boogie Fever,Capitol Records,"7"", Single, Jac",,1975,8598693,45 Funk/Soul,2023-02-23 14:55:23,Very Good Plus (VG+),Very Good Plus (VG+),
4336,The Sylvers,Hot Line,Capitol Records,"7"", Single, Jac",,1976,1521157,45 Funk/Soul,2023-02-22 23:12:43,Near Mint (NM or M-),Generic,
5324,King Curtis,Sister Sadie / Tanya,Capitol Records,"7"", Single",,1964,13202494,45 Funk/Soul,2020-11-22 06:27:01,Near Mint (NM or M-),Generic,
5610,Brian Wilson,"Caroline, No / Summer Means New Love",Capitol Records,"7"", Single, Scr",,1966,2132263,45 60's Rock,2023-02-21 23:28:33,Good Plus (G+),Good (G),
ST-12161,René & Angela,Wall To Wall,Capitol Records,"LP, Album, Jac",,1981,8045470,80's R&B,2019-11-30 23:09:51,Near Mint (NM or M-),Good Plus (G+),
ST-872,The Persuasions,Street Corner Symphony,Capitol Records,"LP, Album, Win",,1972,2286532,Funk/Soul,2018-08-08 23:45:13,Very Good Plus (VG+),Very Good Plus (VG+),
SW-11921,The Beatles,A Hard Day's Night,Capitol Records,"LP, Album, RE",,1978,5790332,60's Rock,2018-08-13 21:16:54,Very Good Plus (VG+),Very Good Plus (VG+),
T 2458,The Beach Boys,Pet Sounds,Capitol Records,"LP, Album, Mono, Ltd, RE, 180",,2008,1763305,60's Rock,2018-08-13 21:38:59,Near Mint (NM or M-),Very Good Plus (VG+),
00602508802102,The Beach Boys,Feel Flows (The Sunflower & Surf's Up Sessions • 1969 - 1971),"Capitol Records, Brother Records (3), Universal Music Group","Comp + LP, Album, Comp, RE + LP, Album, Comp, RE",,2021,20015524,60's Rock,2021-09-16 15:43:25,Mint (M),Mint (M),
"7243 8 29626 1 8, 8296261",Radiohead,The Bends,"Capitol Records, Capitol Records","LP, Album, Ltd, RE, 180",,2008,1594061,90's Rock/Alternative,2018-10-11 01:33:02,Mint (M),Near Mint (NM or M-),
"ST 2442, ST-2442",The Beatles,Rubber Soul,"Capitol Records, Capitol Records","LP, Album",,1966,2666064,60's Rock,2018-08-13 21:44:01,Very Good Plus (VG+),Good Plus (G+),
"ST 2576, ST-2576",The Beatles,Revolver,"Capitol Records, Capitol Records","LP, Album, Los",,1966,1498484,60's Rock,2018-08-13 21:22:56,Very Good (VG),Very Good (VG),
"T 1981, T-1981",The Beach Boys,Surfer Girl,"Capitol Records, Capitol Records","LP, Album, Mono, Los",,1963,390877,60's Rock,2018-08-13 21:41:38,Good Plus (G+),Good Plus (G+),
"SMAL-2835, SMAL 2835, 2835",The Beatles,Magical Mystery Tour,"Capitol Records, Capitol Records, Capitol Records","LP, Album, Los",,1967,464292,60's Rock,2018-08-13 21:58:50,Very Good Plus (VG+),Very Good (VG),
"B0028035-01, NA 5165, NA 5165-LP-ST",David Axelrod,Song Of Innocence,"Capitol Records, Now-Again Records, Now-Again Records, Universal Music Special Markets","LP, Album, RSD, RE",,2018,11889255,Jazz,2018-08-08 03:09:54,Near Mint (NM or M-),Near Mint (NM or M-),
7243 8 55229 1 8,Radiohead,OK Computer,"Capitol Records, Parlophone","2xLP, Album, RE, Gat",,2008,7540273,90's Rock/Alternative,2018-10-11 02:26:11,Near Mint (NM or M-),Near Mint (NM or M-),
"T762, B0029468-01",Miles Davis,The Complete Birth Of The Cool,"Capitol Records, UMe, Capitol Records","LP, Album, Comp, RE, RM + LP, RE + Comp, Mono, RE",,2019,13708439,Jazz,2019-06-15 19:56:40,Mint (M),Mint (M),
CT-165,Mac DeMarco,2,Captured Tracks,"LP, Album, M/Print, RP",,2015,7758965,Indie/Alternative,2018-10-11 01:42:54,Near Mint (NM or M-),Near Mint (NM or M-),
CT-193,Mac DeMarco,Salad Days,Captured Tracks,"LP, Album, Gat",,2014,5552990,Indie/Alternative,2018-10-11 02:02:55,Near Mint (NM or M-),Near Mint (NM or M-),
CT-228,Mac Demarco,Another One,Captured Tracks,"LP, MiniAlbum",,2015,7286335,Indie/Alternative,2018-10-11 01:37:39,Mint (M),Mint (M),
CR -81739,Dexter Griffin & Wanda Griffin,"Past, Present & Future",Caress Records (2),"7""",,1976,2596634,45 Funk/Soul,2020-11-22 06:25:04,Near Mint (NM or M-),Poor (P),
CAK121,Toro Y Moi,Boo Boo,Carpark Records,"2xLP, Album",,2017,10537809,Indie/Alternative,2018-08-13 22:55:35,Near Mint (NM or M-),Near Mint (NM or M-),
CAK52,Toro Y Moi,Causers Of This,Carpark Records,"LP, Album",,2010,2135964,Electronic,2018-08-13 22:43:43,Very Good Plus (VG+),Very Good Plus (VG+),
CAK59,Toro Y Moi,Underneath The Pine,Carpark Records,"LP, Album",,2011,2722585,Indie/Alternative,2018-08-13 22:40:39,Very Good Plus (VG+),Very Good Plus (VG+),
CAK68,Toro Y Moi,Freaking Out,Carpark Records,"12"", EP, Gre",,2011,3097489,Electronic,2018-08-13 22:31:16,Near Mint (NM or M-),Near Mint (NM or M-),
CAK77,Toro Y Moi,Anything In Return,Carpark Records,"2xLP, Album, 180",,2013,4220709,Indie/Alternative,2018-08-13 22:56:31,Very Good Plus (VG+),Very Good Plus (VG+),
NB 2233,"Lipps, Inc.",Funkytown,Casablanca,"7"", Single, Styrene, 19",,1979,262584,45 Funk/Soul,2020-11-17 07:34:55,Very Good (VG),Very Good (VG),
NB 864,Parliament,Star Child (Mothership Connection),Casablanca,"7"", Single, Mono, Promo, San",,1975,1214174,45 Funk/Soul,2023-06-14 22:15:12,Mint (M),Generic,
NB 978,Donna Summer,Hot Stuff,Casablanca,"7"", Single, 56 ",,1979,588641,Funk/Soul,2020-11-17 07:11:38,Near Mint (NM or M-),Generic,
NB 978,Donna Summer,Hot Stuff,Casablanca,"7"", Single, 56 ",,1979,588641,45 Funk/Soul,2023-02-22 22:29:23,Good Plus (G+),Generic,
B0022994-01,Parliament,Mothership Connection,"Casablanca, Republic Records, UMe","LP, Album, Ltd, RE, 3D ",,2015,7264049,Funk/Soul,2020-03-09 06:17:44,Mint (M),Mint (M),
CATX-2015,Gwen McCrae,All This Love That I'm Givin' / Maybe I'll Find Somebody New,Cat,"7"", Single, RE, RM, RP, Yel",,2020,15598710,45 Funk/Soul,2021-01-29 17:23:57,Mint (M),Mint (M),
4987,Javier Solís Con el Mariachi México de Pepe Villa,Las Mañanitas / En Tu Dia,CBS,"7"", Single, RE",,1974,10912232,Spanish,2022-11-08 21:51:31,Very Good Plus (VG+),Very Good Plus (VG+),
25AP 736,Kimiko Kasai,This Is My Love,CBS/Sony,"LP, Album, RE",,1977,5858963,Japanese,2021-10-14 17:47:07,Near Mint (NM or M-),Near Mint (NM or M-),
CHLP3209,Funkadelic,One Nation Under A Groove,Charly Records,"LP, Album, RE + 12"", RE",,2023,25958491,Funk/Soul,2023-06-18 21:51:31,Mint (M),Mint (M),
1120,Fontella Bass,Rescue Me,Checker,"7"", Single",,1965,2559874,45 60's/70's R&B,2020-11-22 05:28:42,Near Mint (NM or M-),Generic,
1120,Fontella Bass,Rescue Me / Soul Of The Man,Checker,"7"", Single",,1965,2608694,45 60's/70's R&B,2023-02-23 15:41:19,Good Plus (G+),,
863,Dale Hawkins,Susie-Q / Don't Treat Me This Way,Checker,"7"", Single",,1957,14961817,45 60's Rock,2023-02-21 23:25:57,Good (G),Generic,
1680,Muddy Waters,I Live The Life I Love (I Love The Life I Live),Chess,"7"", Single, Styrene",,1957,4816749,45 60's Rock,2023-02-20 23:52:05,Very Good (VG),Generic,
1890,Howlin' Wolf,Hidden Charms / Tail Dragger,Chess,"7""",,1963,4431434,45 Blues,2018-12-21 20:36:41,Mint (M),Mint (M),
ACH-19004,Brother Jack McDuff,Sophisticated Funk,Chess,"LP, Album, RE",,0,3492092,Jazz,2022-11-08 21:36:53,Mint (M),Mint (M),
CR-164,Tarika Blue,Tarika Blue,Chiaroscuro Records,"LP, Album, RE",,2020,15700139,Jazz,2021-09-16 15:24:40,Mint (M),Mint (M),
VS4 42720,Spandau Ballet,True,Chrysalis,"7"", Single, Styrene",,1983,1177684,45 70's/80's Rock,2023-06-23 21:47:45,Very Good Plus (VG+),Very Good (VG),
"LPCT 0805, TRLP 0805",Augustus Pablo,Ital Dub,"Clocktower Records, Abraham","LP, Album, RP, Lig",,0,14666551,Reggae,2023-02-14 15:03:08,Near Mint (NM or M-),Near Mint (NM or M-),
"CTLP-119, LPCT 0119",Scientist,Scientific Dub,"Clocktower Records, Abraham, Abraham","LP, Album, RE",,0,11305094,Reggae,2023-04-20 23:39:22,Mint (M),Mint (M),
8810,Bobby Caldwell,Cat In The Hat,Clouds,"LP, Album, Vol",,1980,7235224,Funk/Soul,2018-08-08 22:43:40,Near Mint (NM or M-),Very Good Plus (VG+),
CLL 8804,Bobby Caldwell,Bobby Caldwell,Clouds,"LP, Album, Ter",,1978,745984,Funk/Soul,2018-08-08 22:42:47,Near Mint (NM or M-),Very Good Plus (VG+),
CLX-21,Bobby Caldwell,Coming Down From Love,Clouds,"7""",,1980,10992132,45 80's R&B,2023-02-22 22:03:52,Good Plus (G+),Good Plus (G+),
CLX-21,Bobby Caldwell,Coming Down From Love,Clouds,"7""",,1980,10992132,45 80's R&B,2023-02-22 22:04:16,Good Plus (G+),Generic,
CH182,The Mars Volta,De-Loused In The Comatorium,Clouds Hill,"2xLP, Album, Ltd, RE, RM, Gol",,2021,20767684,Psych/Garage Rock,2022-06-30 20:54:25,Mint (M),Mint (M),
"HSS1, CL-HSS1",Bobby Caldwell,What You Won't Do For Love / Love Won't Wait,"Clouds, Clouds","7"", Shape, Ltd, Red",,1979,545791,45 60's/70's R&B,2018-12-21 20:56:06,Mint (M),Near Mint (NM or M-),
"9 25731-1, 1-25731",Big Daddy Kane,Long Live The Kane,"Cold Chillin', Cold Chillin', Warner Bros. Records, Warner Bros. Records","LP, Album",,1988,763251,Hip-Hop,2020-11-17 06:25:30,Very Good Plus (VG+),Very Good Plus (VG+),
CLMN 12016,Various,Soul Slabs Vol. 1,Colemine Records,"2xLP, Comp, RE",,2021,17506498,Funk/Soul,2022-04-07 15:11:43,Mint (M),Mint (M),
CLMN 12032,Monophonics,It's Only Us,Colemine Records,"LP, Album, Par",,2020,14950970,Funk/Soul,2021-07-12 22:11:50,Mint (M),Mint (M),
66-1034,Sajid Khan,Dream,Colgems,"7"", Single, Promo",,1969,4846843,45 60's Rock,2023-07-08 19:01:24,Very Good Plus (VG+),Generic,
COL-424,Stevie Wonder,"Signed, Sealed, Delivered / Heaven Help Us All",Collectables,"7""",,0,721415,45 60's/70's R&B,2018-12-21 20:34:06,Very Good Plus (VG+),Very Good (VG),
COL 3205,The Ronettes,Be My Baby / So Young,"Collectables, Philles Records","7"", Single, Mono",,0,15306117,45 60's/70's R&B,2023-02-02 21:59:11,Mint (M),Generic,
19075965221,"Tyler, The Creator",Igor,Columbia,"LP, Album, Gat",,2019,14215683,Modern R&B,2019-10-22 03:25:06,Mint (M),Mint (M),
19439916641,"Tyler, The Creator",Call Me If You Get Lost,Columbia,"2xLP, Album, Uni",,2022,22976084,Hip-Hop,2022-04-26 12:28:33,Mint (M),Mint (M),
3-10716,Ronnie Dyson,Sara Smile / No Way,Columbia,"7"", Single, Promo",,1978,6853688,45 Funk/Soul,2020-11-17 07:05:38,Near Mint (NM or M-),Very Good Plus (VG+),
38-77080,Mariah Carey,Dreamlover,Columbia,"7""",,1993,2439631,45 R&B,2023-06-30 23:28:51,Very Good (VG),,
88875118881,The Internet (2),Ego Death,Columbia,"2xLP, Album",,2015,7656373,Modern R&B,2018-08-08 04:21:47,Near Mint (NM or M-),Near Mint (NM or M-),
BFC 40135,Lisa Lisa & Cult Jam With Full Force,Lisa Lisa & Cult Jam With Full Force,Columbia,"LP, Album, Pit",,1985,1167549,80's R&B,2018-08-08 23:36:34,Very Good Plus (VG+),Very Good Plus (VG+),
CS 9325,The George Benson Quartet,It's Uptown,Columbia,"LP, Album, RE",,1971,1011111,Jazz,2018-08-08 03:39:26,Very Good Plus (VG+),Good Plus (G+),
JC 35037,Elvis Costello,My Aim Is True,Columbia,"LP, Album, RP, Ter",,1978,9361709,70's Rock,2019-11-30 23:05:55,Mint (M),Mint (M),
KC 32210,Weather Report,Sweetnighter,Columbia,"LP, Album",,1973,481001,Jazz,2018-08-08 03:35:26,Good Plus (G+),Good Plus (G+),
KC 32731,Herbie Hancock,Head Hunters,Columbia,"LP, Album",,1973,21132478,Jazz,2023-07-13 18:43:11,Very Good (VG),Very Good (VG),
MRB7170,"Nas, Nasir Jones",Made You Look,Columbia,"7"", Single",,2020,16049245,45 Hip-Hop/Instrumental,2022-07-13 17:34:44,Mint (M),Mint (M),
MRB7170,"Nas, Nasir Jones",Made You Look,Columbia,"7"", Single",,2020,16049245,45 Hip-Hop/Instrumental,2022-07-13 17:34:59,Mint (M),Mint (M),
LE 10070,Aretha Franklin,Aretha Franklin's Greatest Hits,Columbia Limited Edition,"LP, Comp, Ltd, RE",,0,3514199,60's R&B,2018-08-09 00:13:32,Good Plus (G+),Good Plus (G+),
"PC 8271, KCS 8271, CL 1480",Miles Davis,Sketches Of Spain,"Columbia, Columbia, Columbia","LP, Album, RE",,0,3965349,Jazz,2018-08-11 00:58:13,Mint (M),Mint (M),
HMJY-102,Jiro Inagaki & Soul Media = Jiro Inagaki & Soul Media,Funky Stuff = ファンキー・スタッフ,"Columbia, Deep Jazz Reality","LP, Album, RSD, RE, RM",,2015,6940610,Japanese,2023-04-20 23:50:55,Mint (M),Mint (M),
8898531760S1,Maxwell,Maxwell's Urban Hang Suite,"Columbia, Legacy","2xLP, Album, Ltd, RE, Met",,2016,9222925,90s R&B,2018-08-08 04:05:27,Near Mint (NM or M-),Near Mint (NM or M-),
"KC 31906, MOVLP518",Miles Davis,On The Corner,"Columbia, Music On Vinyl","LP, Album, RE, RM, 180",,2012,3708952,Jazz,2018-08-08 03:14:04,Near Mint (NM or M-),Near Mint (NM or M-),
19075944041,Solange (2),When I Get Home,"Columbia, Saint Records (6)","LP, Album, Cle",,2019,13834233,Modern R&B,2019-08-04 01:42:25,Mint (M),Near Mint (NM or M-),
88985309551,Bob Dylan,The Essential Bob Dylan,"Columbia, Sony Music","2xLP, Comp, RE",,2016,8638893,60's Rock,2018-08-13 21:44:49,Near Mint (NM or M-),Near Mint (NM or M-),
88875111901,Miles Davis,Bitches Brew,"Columbia, Sony Music, Legacy","2xLP, Album, RE, 180",,2015,7609610,Jazz,2018-08-08 03:18:57,Near Mint (NM or M-),Near Mint (NM or M-),
CRZR-1008,Rock Town Express,Rock Town Express,Comb & Razor Sound,"LP, Album, RE",,2017,10885381,African,2018-08-08 01:59:53,Near Mint (NM or M-),Near Mint (NM or M-),
TEA-10,Judy Anton,Smile,Continental (7),"LP, RE",,2020,15733316,Japanese,2020-11-02 06:45:35,Mint (M),Mint (M),
CCR406,Kashmere Stage Band,Play Originals,Cool Cult Records,"LP, Album, RE, 180",,2019,14386992,Funk/Soul,2020-10-10 00:52:08,Mint (M),Mint (M),
44251,Sister Sledge,We Are Family,Cotillion,"7"", Single, SP ",,1979,579070,45 Funk/Soul,2020-11-17 07:31:10,Very Good Plus (VG+),Generic,
ROGV-024,Lou Johnson,Sweet Southern Soul,"Cotillion, Run Out Groove","LP, Album, Mono, Ltd, Num, RE",,2018,11761967,60's R&B,2020-03-04 23:32:22,Mint (M),Mint (M),
CS-1008,The Lebron Brothers Orchestra,Psychedelic Goes Latin,Cotique,"LP, Album, RE",,2000,2581560,Latin Jazz,2018-08-08 02:11:43,Near Mint (NM or M-),Near Mint (NM or M-),
DAC004,Dirty Art Club,Basement Seance,Cotter Records,"2xLP, Album, Ltd, Cle",,2018,11577245,Instrumental/Beats,2019-04-14 22:30:14,,,
"none, BTOWN-SS-01",Mitzi Ross,I'll Do More For You Baby / Talk Of The Town,"Cougar Records, Brewerytown Records","7""",,2021,17815246,45 Funk/Soul,2021-07-11 21:10:01,Mint (M),Mint (M),
